	Sport	Technology	Law	Economy	ESport
trình duyệt	0	1	0	0	0
trò	1	0	0	0	0
trở	1	0	0.33333334	0.33333334	0.6666667
trở lại	0	1	0	1	0
trở nên	0	0	0	1	1
trở thành	1	0.5	0	0.75	0.25
trời	0	0	0	1	0
trong	0.8	0.8	0.26666668	1	0.5
trống	0	0	0	0	1
trọng	0	1	0	0	0
trông chờ	1	0	0	0	0
trong lành	0	0	0	1	0
trừ	0.5	0	0.5	0.5	1
trực	0	1	0	0	1
trực tiếp	0	0	0	0	1
trực tuyến	0	1	0	0	1
trung	0	1	0	0.5	0
trung tâm	1	0	0	0.6666667	0.33333334
trung vệ	1	0	0	0	0
trước	1	0.16666667	0	0.41666666	0.25
trương	0	0	0	1	0
trường	0	0.33333334	0	1	0
trường hợp	0.5	1	0	0	0
truy cập	0	1	0	0	0
truy tìm	0	0	1	0	0
truyền thông	0	1	0	0	0
tú	0	0	1	0	0
tư	0.5	0	0	1	0
từ	0.36363637	0.18181819	0.27272728	1	0.6363636
tự	1	1	0	0	1
tư cách	0.5	0	1	0.5	0
tự hào	1	0	0	0	0
tự nhiên	0	0	0	1	0
tư pháp	0	0	1	0	0
tự quyết	1	0	0	0	0
tự tại	1	0	0	0	0
tự tin	0	0	0	0	1
tự tử	0	0	1	0	0
tựa	0	0	0	0	1
tuần	0	0.23076923	1	0	0
tục	0	0	0	1	1
tức	0	0	1	0	0
tung	0	0	0	0	1
từng	0.75	0.25	1	0.75	0
tuổi	0	0	1	0	0
tương	0	0	0	1	1
tướng	0	0	0	0	1
tương đối	0	0	0	0	1
tương đương	0	0	0	1	0
tương lai	0	0.5	0	1	0
tường tận	1	0	0	0	0
tương thích	0	0	0	0	1
tương tự	0	0	1	0	0
tuy	0	0.25	0	1	0.25
tuy nhiên	0	0	0	0	1
tuyên	0	0	1	0	0
tuyến	1	0	0	0	0
tuyển	1	0	0	0	0
tuyên án	0	0	1	0	0
tuyển thủ	0	0	0	0	1
tuyệt đối	1	0	0	1	0
tuyệt nhiên	0	0	0	0	1
ty	0	1	0	1	0
tỷ	0	0.5555556	0.055555556	1	0
tỷ lệ	0	0	0	1	0
tỷ phú	0	0	0	1	0
tỷ suất	0	0	0	1	0
tỷ trọng	0	0	0	1	0
ủng	0	0	0	0	1
ứng	0	0	0	1	0
ứng cử viên	0	0	0	0	1
ứng dụng	0	1	0	0	0
ủng hộ	0	1	0	0	1
ước tính	0	1	0	0.25	0
ưu	0	1	0	0	0
ưu thế	1	0	0	0	1
ưu tiên	1	0	0	0	0
uy tín	0	0	0	1	0
uyển chuyển	1	0	0	0	0
và	0.65	0.55	0.5	0.75	1
vài	0	0.25	0	0.5	1
vai trò	0	1	1	0.5	0.5
ván	0	0	0	0	1
văn	1	0	0.42857143	0	0
vấn	0	0	0	1	0
vẫn	0.4	0.6	0.2	1	1
vạn	1	0	0	0	0
vận	0	0	0	1	0
văn bản	0	0	0	1	0
vấn đề	0	0.5	0	1	0.5
vận động	0	0	0	1	0
vận dụng	0	0	1	0	0
vận hành	1	1	0	1	0
vàng	1	0	0	0.5	0.5
vắng	1	0	0	0	0
vào	1	0.7368421	0.36842105	0.7894737	0.6315789
vào khoảng	0	0	0	1	0
vật	0	1	1	0	0
vặt	0	0	0	1	0
vật phẩm	0	0	1	0	0
vay	0	0	0	1	0
vậy	0	0.6666667	0	0.33333334	1
vé	1	0	0	0	0
về	0.6875	0.5625	1	0.75	0.375
vệ	1	0	0.2857143	0	0
ven	0	0	0	1	0
vén	0	0	0	0	1
vi	0	0	1	0	0
ví	1	0	0	0	1
vì	1	1	0.5	0.5	1
vị	0	0	0	1	1
vi phạm	0	0	1	0	0
vì sao	1	0	0	0	0
vị thế	1	0	0	1	0
vị trí	0.5555556	0.11111111	0.11111111	0.44444445	1
video	0.33333334	1	0	0	0
việc	0.125	0.3125	0.1875	1	0.1875
việc làm	0	0	1	0	0
viên	0	1	0	0	0
viện	0	0	1	0	0
vinh dự	1	0	0	0	0
vở	0	0	1	0	0
vợ	0	0	1	0	0
vô cùng	0	1	0	0	0
vô danh	1	0	0	0	0
vô địch	1	0	0	0	0.2
vô ích	0	0	0	0	1
vỗ tay	1	0	0	0	0
voi	1	0	0	0	0
với	0.6969697	0.54545456	0.3030303	1	0.54545456
vội vàng	0	0	1	0	0
vốn	0	0	0	1	0.22222222
vốn điều lệ	0	0	1	0	0
vỏn vẹn	0	0	0	0	1
vòng	0.33333334	0	0	0	1
vòng loại	1	0	0	0	0
vợt	1	0	0	0	0
vụ	0	0.14285715	1	0.14285715	0.14285715
vũ khí	1	1	0	0	0
vụ việc	0	0	1	0	0
vừa	0.25	1	1	0.25	0.25
vừa qua	1	0	0	0	0
vừa rồi	0	1	0	0	0
vực	0	1	0	0	0
vui	0	0	0	1	0
vui chơi	0	0	0	1	0
vùng	0	0	0	1	0
vững	0	0	1	1	0
vững mạnh	0	0	0	1	0
vùng ven	0	0	0	1	0
vươn	1	0.5	0	0	0
vương	0	0	0	1	0
vương vãi	0	0	1	0	0
vượt	0.6666667	0	0	1	0
vượt bậc	1	0	0	0	0
vứt	0	0	0	0	1
web	0	1	0	0	0
website	0	1	0	0	0
world cup	1	0	0	0	0
x	0	1	0	0	0
xa	0	0.5	0	0.5	1
xã hội	0	1	0	0	0
xác	0	0	1	0	0
xác định	0	0	0	0	1
xác nhận	0	1	0	0	0
xâm hại	0	0	1	0	0
xâm phạm	0	0	1	0	0
xăng	0	0	1	0	0
xanh	0	0	0	1	0
xây	0	0	0	1	0
xảy	0	1	0.6666667	0.33333334	0
xây dựng	0	0.5	1	1	0
xe	0	1	0	0	0
xe tăng	0	0	0	0	1
xem trọng	0	0	0	1	0
xem xét	0	0	1	0	0
xếp	1	0	0	0	1
xét	0	0	0	1	1
xét xử	0	0	1	0	0
xin	0	0	1	0	0
xinh	0	0	1	0	0
xoay	0	0	0	0	1
xơi	0	0	1	0	0
xứ	1	0	0	0	0
xu hướng	0	0	0	1	0
xử lý	1	1	1	0	1
xuân	0	0	1	0	0
xuất	0.5	0	0	0	1
xuất hiện	0	1	0	1	0
xuất nhập khẩu	0	0	1	0	0
xuất phát	0	1	0	0	0
xuất sắc	1	0	0	0	0
xuống	0.5	0.5	0	1	0.5
xướng	0	0	0	0	1
y	0	0	1	0	0
ý kiến	0	0	1	0	0
ý nghĩa	1	0	0	0	0.5
ý tưởng	0	1	0	0	1
yêu	0	0	0.5	1	0
yêu cầu	0	0.25	1	0	0
yếu tố	1	0	0	1	0
